subject_id,subject,repetition,status,attempt,returncode,num_calls,started_at,ended_at,elapsed_seconds,tests_passed,tests_expected,compilation,safe_rate_percent,output_tokens,execution_git_sha,copilot_cli_version,state_sha256
4,binomial-heap,1,completed,1,0,1,2026-08-12T21:31:13.878282Z,2026-08-12T22:55:24.191494Z,5050.313212,6,6,True,75.56675062972292,249445,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,203ee0080f47dd440af11ebc53f8f1a2db2d152a4c4af1a0d9d8244c5d9f15fb
4,binomial-heap,2,completed,1,0,1,2026-08-12T21:33:48.962810Z,2026-08-12T22:26:42.418076Z,3173.455266,6,6,True,19.241773962804007,184129,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,6fd2757bb98e07edf2bbddbbb59d8eaf618a7dae7af69db5ca2cd8d7f284c04b
5,bloom-filter,0,completed,1,0,1,2026-08-12T21:34:12.120650Z,2026-08-12T22:18:46.836669Z,2674.716019,6,6,True,47.37363726461843,160698,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,625b9a09309fef321e7c161638bc4e46c3e98fd8c6cb1d9389a244509a1bd6cf
5,bloom-filter,1,completed,1,0,1,2026-08-12T21:35:17.805398Z,2026-08-12T22:31:36.273264Z,3378.467866,6,6,True,68.21130676552363,175236,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,e1b3e8cddcfda3d5e86bfc8b9d56a3c9125b905b2d55503c5b6807619682f666
5,bloom-filter,2,completed,1,0,1,2026-08-12T21:37:35.478437Z,2026-08-12T22:28:11.665576Z,3036.187139,6,6,True,41.80327868852459,165291,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,9a372c928516722927a3ffaa9443f28b7d21889fdd680bb8095ebbcaafa5020d
6,compare-functions,0,completed,1,0,1,2026-08-12T22:13:25.258475Z,2026-08-12T22:52:18.173252Z,2332.914777,8,8,True,62.47334754797441,124181,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,c71186406a1b35cf4092f900e68d9b76a70aeaaee305c4150699c1bea702d01d
6,compare-functions,1,completed,1,0,1,2026-08-12T22:18:46.839192Z,2026-08-12T23:01:00.902783Z,2534.063591,8,8,True,47.56671899529042,141961,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,9024a338521534fcf9fc912ea81c095b13859d8ad335a2c9f4af4f59fba96ed9
6,compare-functions,2,completed,1,0,1,2026-08-12T22:26:42.422817Z,2026-08-12T23:01:39.867806Z,2097.444989,8,8,True,47.674418604651166,120104,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,ee7cd0671099a03e8158d8b7250a63e87664702ffed48c0b34fe94db71756e7f
7,hash-functions,0,completed,1,0,1,2026-08-12T22:28:11.668044Z,2026-08-12T22:58:41.152957Z,1829.484913,4,4,True,83.40248962655602,101677,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,d7e7cbf37387b6310bfe6221d288dede6318cbfd9fb811c84ade242bc355314a
7,hash-functions,1,completed,1,0,1,2026-08-12T22:31:36.275984Z,2026-08-12T23:01:15.867464Z,1779.59148,4,4,True,89.51612903225806,104369,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,ea4122a426286b0fe475af8a54133041593f322077e5be063b3414be00ea5c1c
7,hash-functions,2,completed,1,0,1,2026-08-12T22:52:18.176281Z,2026-08-12T23:20:54.232531Z,1716.05625,4,4,True,82.51121076233184,115565,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,4e7c9688fb7b1cfe3c644b2f8d7c33ff34bb7509cf723e5796d53a2f053aa4f9
8,hash-table,0,completed,1,0,1,2026-08-12T22:55:24.196442Z,2026-08-12T23:36:19.138362Z,2454.94192,8,8,True,19.45945945945946,178007,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,69ed0aa37bde636b8b6bfccf8481ab441af0b7e41f8095ac0ec09d44b4dcae41
8,hash-table,1,completed,1,0,1,2026-08-12T22:58:41.155349Z,2026-08-12T23:47:13.163843Z,2912.008494,8,8,True,27.407030056036678,202531,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,e0aec75737cf1fdca95b49f5862601b7bfdfc6ef517b6d71cf14e347ce83db24
8,hash-table,2,completed,1,0,1,2026-08-12T23:01:00.906200Z,2026-08-12T23:50:32.965625Z,2972.059425,8,8,True,72.8793998845932,211996,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,769ac180a0fc1c393aba4ed4893ce396907ccaaf98441e9154899a7aaa74d51f
9,list,0,completed,1,0,1,2026-08-12T23:01:15.869917Z,2026-08-12T23:42:27.337796Z,2471.467879,14,14,True,21.67883211678832,174655,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,39a57e5a6919552b0defa7b9904c71f822a8c58cd7078fbc9b4abca58ca355f3
9,list,1,completed,1,0,1,2026-08-12T23:01:39.870414Z,2026-08-12T23:50:33.769259Z,2933.898845,14,14,True,20.438799076212472,212448,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,6f1d77b589c5bcac79eedcb0d997e12ae0d181b0b75826ccf481dc65dda0454a
9,list,2,completed,1,0,1,2026-08-12T23:20:54.235706Z,2026-08-13T00:00:26.605856Z,2372.37015,14,14,True,15.748031496062993,169671,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,8de4f6ab654d24aed6ff5f5046a4a3389ab49ce495148bf17383e1b1f3e9fa30
10,queue,0,completed,1,0,1,2026-08-12T23:36:19.141255Z,2026-08-13T00:12:10.847929Z,2151.706674,8,8,True,63.065843621399175,147377,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,4602575680c31ae9ac7480d13c54cdf0292df796e5e4178585bb4798fda22e46
10,queue,1,completed,1,0,1,2026-08-12T23:42:27.340141Z,2026-08-13T00:12:40.896546Z,1813.556405,8,8,True,21.279554937413074,138922,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,beee86a73413bd8be9302cdf5aab303a40d5ace56e6692a2ad4875a1d23be4b5
10,queue,2,completed,1,0,1,2026-08-12T23:47:13.166780Z,2026-08-13T00:13:54.006121Z,1600.839341,8,8,True,27.083333333333332,128224,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,6b2b61280e7be54f428ba749d10e35b8cef7cea10da2ec29c27d1b2f031420e4
11,rb-tree,0,completed,1,0,1,2026-08-12T23:50:32.968343Z,2026-08-13T00:39:21.415001Z,2928.446658,6,6,True,16.234390009606148,220031,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,14c9f921a8175b4a3ab9005471e12a0cd9ee4b661d1bcdcc0ce56ce237905018
11,rb-tree,1,completed,1,0,1,2026-08-12T23:50:33.772245Z,2026-08-13T00:42:36.796724Z,3123.024479,6,6,True,21.255561047948593,233925,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,a4012f0a7285807c335ee310567d686384cce486aa9e3ca974db020b5b16929d
11,rb-tree,2,completed,1,0,1,2026-08-13T00:00:26.608744Z,2026-08-13T00:51:03.963015Z,3037.354271,6,6,True,16.01581809194266,220385,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,d28b4d9881ad0b06b936d4ba8aba5a16c538e563c897fc106040498c5e51f82f
12,set,0,completed,1,0,1,2026-08-13T00:12:10.851804Z,2026-08-13T00:58:40.250057Z,2789.398253,11,11,True,20.08830022075055,202563,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,e7caed3cf1227e3c86051e12018583740e378bc2efd407077e006b97ba983f9c
12,set,1,completed,1,0,1,2026-08-13T00:12:40.898991Z,2026-08-13T00:51:52.173322Z,2351.274331,11,11,True,24.076704545454547,181936,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,59e605fb3a72a17d9298ca3cfd625c2fb1a552cb991518291a324040ff9729b8
12,set,2,completed,1,0,1,2026-08-13T00:13:54.009094Z,2026-08-13T01:07:26.252438Z,3212.243344,11,11,True,20.026821636119802,236406,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,e05807a19f834ab5245ebd27a2ff2dfb754b739b9a98b6c65fb88a826434ac0c
13,slist,0,completed,1,0,1,2026-08-13T00:39:21.417937Z,2026-08-13T01:27:41.203884Z,2899.785947,14,14,True,21.91316146540027,214624,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,e0536215c119bf058269a47bbca7b927ccfeaca5d65e7d006a33ec7da4c44edd
13,slist,1,completed,1,0,1,2026-08-13T00:42:36.799611Z,2026-08-13T01:28:16.338304Z,2739.538693,14,14,True,19.1046658259773,207429,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,85454aeae00be8446329c14df8a104a78fc2e631e770b292b78d2195a1786aab
13,slist,2,completed,1,0,1,2026-08-13T00:51:03.965798Z,2026-08-13T01:38:01.043878Z,2817.07808,14,14,True,14.206896551724139,191599,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,6e73d4d8c6054f789860cbfd81cb6e5c21896cc7b2e90972d28c683f9701c48a
14,sortedarray,0,completed,1,0,1,2026-08-13T00:51:52.176479Z,2026-08-13T01:31:51.891554Z,2399.715075,7,7,True,61.785714285714285,184353,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,db77d369996f1925b4f02ba4fd94b7b37a771f0beee782c4528f9c48917c01e1
14,sortedarray,1,completed,1,0,1,2026-08-13T00:58:40.252925Z,2026-08-13T01:32:54.624115Z,2054.37119,7,7,True,33.54609929078014,154599,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,40f97d25962ec8efad3db4670d887b02d6c051fe37e515a3baecd3de77dea622
14,sortedarray,2,completed,1,0,1,2026-08-13T01:07:26.255223Z,2026-08-13T01:47:02.772022Z,2376.516799,7,7,True,20.108695652173914,177688,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,9b788ecbfac4104e420f46b80df99bd8a9776d6680133a2d68c00c05be4861d8
15,trie,0,completed,1,0,1,2026-08-13T01:27:41.206857Z,2026-08-13T02:20:07.623807Z,3146.41695,11,11,True,16.06108478146393,230750,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,a750c986659487ecc8e33c31e51ba03f859db51848136e9c42ef03b8a11627ff
15,trie,1,completed,1,0,1,2026-08-13T01:28:16.341021Z,2026-08-13T02:20:06.379624Z,3110.038603,11,11,True,58.36940836940837,221621,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,fce9b9dc0901b1d4a86ce7e789e279b545f6ebbd37961891af12585542bf1b76
15,trie,2,completed,1,0,1,2026-08-13T01:31:51.894068Z,2026-08-13T02:12:33.007534Z,2441.113466,11,11,True,28.66716306775875,176455,96a89524d70169f190727bf7e277ef086171605f,GitHub Copilot CLI 1.0.79.,91514486b5743749a5e361bf9106a56735233365e40c23b8a0e67176ccd69269
