bootstrap,capped_pass_counts,ci_95_t,denominator,excluded_projects,expected_repetitions,input_rows,mean,measured_repetitions,metric,missing_repetitions,n,n_projects,numerator,partial,reason,repetition,sample_sd,status,system,tool,value,variability_status,zero_numerator_substitutions
"{""ci_95"": [0.5414937759336099, 0.8151986183074266], ""reason"": """", ""resamples"": 5000, ""seed"": 20261007, ""status"": ""measured""}",10,,623.0,0,,100,,,validated_test_micro_pass_rate,,,100,423.0,False,,2,,measured,codeweaver,crust,0.6789727126805778,,13
"{""ci_95"": [0.5813932900432901, 0.7564127705627706], ""reason"": """", ""resamples"": 5000, ""seed"": 20261008, ""status"": ""measured""}",0,,100,0,,100,,,validated_test_macro_pass_rate,,,100,66.97782106782107,False,,2,,measured,codeweaver,crust,0.6697782106782106,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20260805, ""status"": ""measured""}",0,,6,0,,6,,,compilation_success,,,6,6.0,False,,0,,measured,codeweaver,oxidizer,1.0,,0
"{""ci_95"": [0.0, 0.5], ""reason"": """", ""resamples"": 5000, ""seed"": 20260806, ""status"": ""measured""}",0,,6,0,,6,,,project_pass_all,,,6,1.0,False,,0,,measured,codeweaver,oxidizer,0.16666666666666666,,0
"{""ci_95"": [0.01092896174863388, 0.5576923076923077], ""reason"": """", ""resamples"": 5000, ""seed"": 20260807, ""status"": ""measured""}",1,,229.0,0,,6,,,validated_test_micro_pass_rate,,,6,33.0,False,,0,,measured,codeweaver,oxidizer,0.14410480349344978,,1
"{""ci_95"": [0.07175925925925926, 0.6828703703703703], ""reason"": """", ""resamples"": 5000, ""seed"": 20260808, ""status"": ""measured""}",0,,6,0,,6,,,validated_test_macro_pass_rate,,,6,2.1527777777777777,False,,0,,measured,codeweaver,oxidizer,0.3587962962962963,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20260905, ""status"": ""measured""}",0,,6,0,,6,,,compilation_success,,,6,6.0,False,,1,,measured,codeweaver,oxidizer,1.0,,0
"{""ci_95"": [0.0, 0.5], ""reason"": """", ""resamples"": 5000, ""seed"": 20260906, ""status"": ""measured""}",0,,6,0,,6,,,project_pass_all,,,6,1.0,False,,1,,measured,codeweaver,oxidizer,0.16666666666666666,,0
"{""ci_95"": [0.006024096385542169, 0.56], ""reason"": """", ""resamples"": 5000, ""seed"": 20260907, ""status"": ""measured""}",1,,229.0,0,,6,,,validated_test_micro_pass_rate,,,6,31.0,False,,1,,measured,codeweaver,oxidizer,0.13537117903930132,,2
"{""ci_95"": [0.0625, 0.6828703703703703], ""reason"": """", ""resamples"": 5000, ""seed"": 20260908, ""status"": ""measured""}",0,,6,0,,6,,,validated_test_macro_pass_rate,,,6,2.0972222222222223,False,,1,,measured,codeweaver,oxidizer,0.34953703703703703,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20261005, ""status"": ""measured""}",0,,6,0,,6,,,compilation_success,,,6,6.0,False,,2,,measured,codeweaver,oxidizer,1.0,,0
"{""ci_95"": [0.0, 0.6666666666666666], ""reason"": """", ""resamples"": 5000, ""seed"": 20261006, ""status"": ""measured""}",0,,6,0,,6,,,project_pass_all,,,6,2.0,False,,2,,measured,codeweaver,oxidizer,0.3333333333333333,,0
"{""ci_95"": [0.0, 0.6923076923076923], ""reason"": """", ""resamples"": 5000, ""seed"": 20261007, ""status"": ""measured""}",1,,229.0,0,,6,,,validated_test_micro_pass_rate,,,6,38.0,False,,2,,measured,codeweaver,oxidizer,0.16593886462882096,,3
"{""ci_95"": [0.0, 0.6666666666666666], ""reason"": """", ""resamples"": 5000, ""seed"": 20261008, ""status"": ""measured""}",0,,6,0,,6,,,validated_test_macro_pass_rate,,,6,2.0,False,,2,,measured,codeweaver,oxidizer,0.3333333333333333,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20260805, ""status"": ""measured""}",0,,4,0,,4,,,compilation_success,,,4,4.0,False,,0,,measured,codeweaver,alphatrans,1.0,,0
"{""ci_95"": [0.0, 0.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20260806, ""status"": ""measured""}",0,,4,0,,4,,,project_pass_all,,,4,0.0,False,,0,,measured,codeweaver,alphatrans,0.0,,0
"{""ci_95"": [0.0, 0.9023809523809524], ""reason"": """", ""resamples"": 5000, ""seed"": 20260807, ""status"": ""measured""}",0,,1181.0,0,,4,,,validated_test_micro_pass_rate,,,4,379.0,False,,0,,measured,codeweaver,alphatrans,0.32091447925486877,,1
"{""ci_95"": [0.0, 0.7283464566929134], ""reason"": """", ""resamples"": 5000, ""seed"": 20260808, ""status"": ""measured""}",0,,4,0,,4,,,validated_test_macro_pass_rate,,,4,1.2018978396931153,False,,0,,measured,codeweaver,alphatrans,0.3004744599232788,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20260905, ""status"": ""measured""}",0,,4,0,,4,,,compilation_success,,,4,4.0,False,,1,,measured,codeweaver,alphatrans,1.0,,0
"{""ci_95"": [0.0, 0.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20260906, ""status"": ""measured""}",0,,4,0,,4,,,project_pass_all,,,4,0.0,False,,1,,measured,codeweaver,alphatrans,0.0,,0
"{""ci_95"": [0.0, 0.888095238095238], ""reason"": """", ""resamples"": 5000, ""seed"": 20260907, ""status"": ""measured""}",0,,1181.0,0,,4,,,validated_test_micro_pass_rate,,,4,373.0,False,,1,,measured,codeweaver,alphatrans,0.31583403895004236,,0
"{""ci_95"": [0.0, 0.7165354330708662], ""reason"": """", ""resamples"": 5000, ""seed"": 20260908, ""status"": ""measured""}",0,,4,0,,4,,,validated_test_macro_pass_rate,,,4,1.1861498081970523,False,,1,,measured,codeweaver,alphatrans,0.2965374520492631,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20261005, ""status"": ""measured""}",0,,4,0,,4,,,compilation_success,,,4,4.0,False,,2,,measured,codeweaver,alphatrans,1.0,,0
"{""ci_95"": [0.0, 0.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20261006, ""status"": ""measured""}",0,,4,0,,4,,,project_pass_all,,,4,0.0,False,,2,,measured,codeweaver,alphatrans,0.0,,0
"{""ci_95"": [0.0, 0.9], ""reason"": """", ""resamples"": 5000, ""seed"": 20261007, ""status"": ""measured""}",0,,1181.0,0,,4,,,validated_test_micro_pass_rate,,,4,378.0,False,,2,,measured,codeweaver,alphatrans,0.32006773920406434,,0
"{""ci_95"": [0.0, 0.7263779527559054], ""reason"": """", ""resamples"": 5000, ""seed"": 20261008, ""status"": ""measured""}",0,,4,0,,4,,,validated_test_macro_pass_rate,,,4,1.1992731677771047,False,,2,,measured,codeweaver,alphatrans,0.29981829194427617,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20260805, ""status"": ""measured""}",0,,8,0,,8,,,compilation_success,,,8,8.0,False,,0,,measured,codeweaver,skel,1.0,,0
"{""ci_95"": [0.125, 0.875], ""reason"": """", ""resamples"": 5000, ""seed"": 20260806, ""status"": ""measured""}",0,,8,0,,8,,,project_pass_all,,,8,4.0,False,,0,,measured,codeweaver,skel,0.5,,0
"{""ci_95"": [0.19298245614035087, 0.9012345679012346], ""reason"": """", ""resamples"": 5000, ""seed"": 20260807, ""status"": ""measured""}",0,,74.0,0,,8,,,validated_test_micro_pass_rate,,,8,40.0,False,,0,,measured,codeweaver,skel,0.5405405405405406,,1
"{""ci_95"": [0.20833333333333331, 0.875], ""reason"": """", ""resamples"": 5000, ""seed"": 20260808, ""status"": ""measured""}",0,,8,0,,8,,,validated_test_macro_pass_rate,,,8,4.333333333333333,False,,0,,measured,codeweaver,skel,0.5416666666666666,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20260905, ""status"": ""measured""}",0,,8,0,,8,,,compilation_success,,,8,8.0,False,,1,,measured,codeweaver,skel,1.0,,0
"{""ci_95"": [0.25, 0.875], ""reason"": """", ""resamples"": 5000, ""seed"": 20260906, ""status"": ""measured""}",0,,8,0,,8,,,project_pass_all,,,8,5.0,False,,1,,measured,codeweaver,skel,0.625,,0
"{""ci_95"": [0.29333333333333333, 0.9875], ""reason"": """", ""resamples"": 5000, ""seed"": 20260907, ""status"": ""measured""}",0,,74.0,0,,8,,,validated_test_micro_pass_rate,,,8,49.0,False,,1,,measured,codeweaver,skel,0.6621621621621622,,0
"{""ci_95"": [0.375, 0.9895833333333334], ""reason"": """", ""resamples"": 5000, ""seed"": 20260908, ""status"": ""measured""}",0,,8,0,,8,,,validated_test_macro_pass_rate,,,8,5.916666666666667,False,,1,,measured,codeweaver,skel,0.7395833333333334,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20261005, ""status"": ""measured""}",0,,8,0,,8,,,compilation_success,,,8,8.0,False,,2,,measured,codeweaver,skel,1.0,,0
"{""ci_95"": [0.125, 0.875], ""reason"": """", ""resamples"": 5000, ""seed"": 20261006, ""status"": ""measured""}",0,,8,0,,8,,,project_pass_all,,,8,4.0,False,,2,,measured,codeweaver,skel,0.5,,0
"{""ci_95"": [0.22641509433962265, 0.9324324324324325], ""reason"": """", ""resamples"": 5000, ""seed"": 20261007, ""status"": ""measured""}",0,,74.0,0,,8,,,validated_test_micro_pass_rate,,,8,43.0,False,,2,,measured,codeweaver,skel,0.581081081081081,,0
"{""ci_95"": [0.2857142857142857, 0.9583333333333333], ""reason"": """", ""resamples"": 5000, ""seed"": 20261008, ""status"": ""measured""}",0,,8,0,,8,,,validated_test_macro_pass_rate,,,8,5.059523809523809,False,,2,,measured,codeweaver,skel,0.6324404761904762,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20260805, ""status"": ""measured""}",0,,118,0,,118,,,compilation_success,,,118,118.0,False,,0,,measured,codeweaver,all,1.0,,0
"{""ci_95"": [0.4322033898305085, 0.6101694915254238], ""reason"": """", ""resamples"": 5000, ""seed"": 20260806, ""status"": ""measured""}",0,,118,0,,118,,,project_pass_all,,,118,61.0,False,,0,,measured,codeweaver,all,0.5169491525423728,,0
"{""ci_95"": [0.18642160540135033, 0.7528397963180572], ""reason"": """", ""resamples"": 5000, ""seed"": 20260807, ""status"": ""measured""}",13,,2107.0,0,,118,,,validated_test_micro_pass_rate,,,118,899.0,False,,0,,measured,codeweaver,all,0.4266729947793071,,14
"{""ci_95"": [0.5506314168652351, 0.7110803728600339], ""reason"": """", ""resamples"": 5000, ""seed"": 20260808, ""status"": ""measured""}",0,,118,0,,118,,,validated_test_macro_pass_rate,,,118,74.62861260640788,False,,0,,measured,codeweaver,all,0.6324458695458295,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20260905, ""status"": ""measured""}",0,,118,0,,118,,,compilation_success,,,118,118.0,False,,1,,measured,codeweaver,all,1.0,,0
"{""ci_95"": [0.423728813559322, 0.6016949152542372], ""reason"": """", ""resamples"": 5000, ""seed"": 20260906, ""status"": ""measured""}",0,,118,0,,118,,,project_pass_all,,,118,61.0,False,,1,,measured,codeweaver,all,0.5169491525423728,,0
"{""ci_95"": [0.1937901498929336, 0.7597087378640777], ""reason"": """", ""resamples"": 5000, ""seed"": 20260907, ""status"": ""measured""}",13,,2107.0,0,,118,,,validated_test_micro_pass_rate,,,118,907.0,False,,1,,measured,codeweaver,all,0.43046986236355006,,18
"{""ci_95"": [0.546226082454896, 0.7068454019301478], ""reason"": """", ""resamples"": 5000, ""seed"": 20260908, ""status"": ""measured""}",0,,118,0,,118,,,validated_test_macro_pass_rate,,,118,74.08230901935626,False,,1,,measured,codeweaver,all,0.6278161781301378,,0
"{""ci_95"": [1.0, 1.0], ""reason"": """", ""resamples"": 5000, ""seed"": 20261005, ""status"": ""measured""}",0,,118,0,,118,,,compilation_success,,,118,118.0,False,,2,,measured,codeweaver,all,1.0,,0
"{""ci_95"": [0.4152542372881356, 0.5932203389830508], ""reason"": """", ""resamples"": 5000, ""seed"": 20261006, ""status"": ""measured""}",0,,118,0,,118,,,project_pass_all,,,118,60.0,False,,2,,measured,codeweaver,all,0.5084745762711864,,0
"{""ci_95"": [0.18448337504469073, 0.7526158445440957], ""reason"": """", ""resamples"": 5000, ""seed"": 20261007, ""status"": ""measured""}",11,,2107.0,0,,118,,,validated_test_micro_pass_rate,,,118,882.0,False,,2,,measured,codeweaver,all,0.4186046511627907,,16
"{""ci_95"": [0.554884780944103, 0.7226744601617816], ""reason"": """", ""resamples"": 5000, ""seed"": 20261008, ""status"": ""measured""}",0,,118,0,,118,,,validated_test_macro_pass_rate,,,118,75.23661804512199,False,,2,,measured,codeweaver,all,0.6375984580095083,,0
,,"[1.0, 1.0]",,,3,,1.0,"[0, 1, 2]",compilation_success,[],3,,,False,,,0.0,measured,codeweaver,crust,,measured,
,,"[0.5251586228824967, 0.5748413771175034]",,,3,,0.55,"[0, 1, 2]",project_pass_all,[],3,,,False,,,0.010000000000000009,measured,codeweaver,crust,,measured,
,,"[0.6435720701044282, 0.7732283579319547]",,,3,,0.7084002140181914,"[0, 1, 2]",validated_test_micro_pass_rate,[],3,,,False,,,0.02609683980365375,measured,codeweaver,crust,,measured,
,,"[0.6328775290576872, 0.6924604379136131]",,,3,,0.6626689834856502,"[0, 1, 2]",validated_test_macro_pass_rate,[],3,,,False,,,0.011992674273670529,measured,codeweaver,crust,,measured,
,,"[1.0, 1.0]",,,3,,1.0,"[0, 1, 2]",compilation_success,[],3,,,False,,,0.0,measured,codeweaver,oxidizer,,measured,
,,"[-0.016814040541636432, 0.46125848498608085]",,,3,,0.2222222222222222,"[0, 1, 2]",project_pass_all,[],3,,,False,,,0.09622504486493762,measured,codeweaver,oxidizer,,measured,
,,"[0.10935945024004551, 0.18758378120100255]",,,3,,0.14847161572052403,"[0, 1, 2]",validated_test_micro_pass_rate,[],3,,,False,,,0.01574476539503925,measured,codeweaver,oxidizer,,measured,
,,"[0.31520580225961664, 0.37923864218482767]",,,3,,0.34722222222222215,"[0, 1, 2]",validated_test_macro_pass_rate,[],3,,,False,,,0.012888343432476905,measured,codeweaver,oxidizer,,measured,
,,"[1.0, 1.0]",,,3,,1.0,"[0, 1, 2]",compilation_success,[],3,,,False,,,0.0,measured,codeweaver,alphatrans,,measured,
,,"[0.0, 0.0]",,,3,,0.0,"[0, 1, 2]",project_pass_all,[],3,,,False,,,0.0,measured,codeweaver,alphatrans,,measured,
,,"[0.3121772067360056, 0.32570029820331137]",,,3,,0.31893875246965847,"[0, 1, 2]",validated_test_micro_pass_rate,[],3,,,False,,,0.002721888445101019,measured,codeweaver,alphatrans,,measured,
,,"[0.29370364703300494, 0.30418315557820713]",,,3,,0.29894340130560604,"[0, 1, 2]",validated_test_macro_pass_rate,[],3,,,False,,,0.0021092849433492827,measured,codeweaver,alphatrans,,measured,
,,"[1.0, 1.0]",,,3,,1.0,"[0, 1, 2]",compilation_success,[],3,,,False,,,0.0,measured,codeweaver,skel,,measured,
,,"[0.3623894695937726, 0.7209438637395607]",,,3,,0.5416666666666666,"[0, 1, 2]",project_pass_all,[],3,,,False,,,0.07216878364870322,measured,codeweaver,skel,,measured,
,,"[0.4407601472866181, 0.7484290419025712]",,,3,,0.5945945945945946,"[0, 1, 2]",validated_test_micro_pass_rate,[],3,,,False,,,0.06192669858048432,measured,codeweaver,skel,,measured,
,,"[0.39179059869179683, 0.884003052101854]",,,3,,0.6378968253968255,"[0, 1, 2]",validated_test_macro_pass_rate,[],3,,,False,,,0.09907108834623418,measured,codeweaver,skel,,measured,
,,"[1.0, 1.0]",,,3,,1.0,"[0, 1, 2]",compilation_success,[],3,,,False,,,0.0,measured,codeweaver,all,,measured,
,,"[0.5019699075430806, 0.5262786800275407]",,,3,,0.5141242937853107,"[0, 1, 2]",project_pass_all,[],3,,,False,,,0.0048927988914374936,measured,codeweaver,all,,measured,
,,"[0.41019679772302653, 0.4403015411474053]",,,3,,0.4252491694352159,"[0, 1, 2]",validated_test_micro_pass_rate,[],3,,,False,,,0.006059395033129414,measured,codeweaver,all,,measured,
,,"[0.6204641186508332, 0.6447762184728173]",,,3,,0.6326201685618252,"[0, 1, 2]",validated_test_macro_pass_rate,[],3,,,False,,,0.004893468608238655,measured,codeweaver,all,,measured,
