table,row_type,dataset_tool,paper_prior_tool,tool_label,project_key,project,source_language,target_language,paper_loc,paper_compilation_success_prior_tool_percent,paper_compilation_success_recodeagent_percent,paper_validated_tests_expected,paper_validated_prior_executed,paper_validated_prior_passed,paper_validated_prior_failed,paper_validated_recodeagent_executed,paper_validated_recodeagent_passed,paper_validated_recodeagent_failed,paper_translated_recodeagent_executed,paper_translated_recodeagent_passed,paper_translated_recodeagent_failed,paper_generated_recodeagent_executed,paper_generated_recodeagent_passed,paper_generated_recodeagent_failed,paper_coverage_before_percent,paper_coverage_after_percent,paper_function_total,paper_function_prior_success,paper_function_recodeagent_success,paper_function_prior_failed,paper_function_recodeagent_failed,codeweaver_variant,codeweaver_repetition,codeweaver_member_project_ids,codeweaver_project_count,codeweaver_project_count_status,codeweaver_loc,codeweaver_loc_status,codeweaver_compilation_success_percent,codeweaver_compilation_success_percent_status,codeweaver_validated_tests_expected,codeweaver_validated_tests_expected_status,codeweaver_validated_tests_executed,codeweaver_validated_tests_executed_status,codeweaver_validated_tests_passed,codeweaver_validated_tests_passed_status,codeweaver_validated_tests_failed,codeweaver_validated_tests_failed_status,codeweaver_translated_tests_executed,codeweaver_translated_tests_executed_status,codeweaver_translated_tests_passed,codeweaver_translated_tests_passed_status,codeweaver_translated_tests_failed,codeweaver_translated_tests_failed_status,codeweaver_function_validation_expected,codeweaver_function_validation_expected_status,codeweaver_function_validation_executed,codeweaver_function_validation_executed_status,codeweaver_function_validation_passed,codeweaver_function_validation_passed_status,codeweaver_function_validation_failed,codeweaver_function_validation_failed_status,codeweaver_generated_tests_expected,codeweaver_generated_tests_expected_status,codeweaver_generated_tests_executed,codeweaver_generated_tests_executed_status,codeweaver_generated_tests_passed,codeweaver_generated_tests_passed_status,codeweaver_generated_tests_failed,codeweaver_generated_tests_failed_status,codeweaver_coverage_before_percent,codeweaver_coverage_before_percent_status,codeweaver_coverage_after_percent,codeweaver_coverage_after_percent_status
Table 1,project,skel,skel,SKEL (Python->JavaScript),html,html,python,javascript,684,100,100,7,7,6,1,7,7,0,7,7,0,13,13,0,77.11,86.11,42,39,42,3,0,full,0,skel__html,1,measured,1344,measured,100.0,measured,7,measured,7,measured,7,measured,0,measured,,unavailable,,unavailable,,unavailable,42,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,71.11,measured,71.11,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),mathgen,mathgen,python,javascript,735,100,100,5,5,4,1,5,5,0,5,5,0,11,11,0,96.42,98.64,82,79,82,3,0,full,0,skel__mathgen,1,measured,1404,measured,100.0,measured,5,measured,5,measured,0,measured,5,measured,,unavailable,,unavailable,,unavailable,82,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,23.39,measured,23.39,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),rbt,rbt,python,javascript,366,100,100,10,10,10,0,10,10,0,10,10,0,5,5,0,87.05,88.35,27,27,27,0,0,full,0,skel__rbt,1,measured,776,measured,100.0,measured,10,measured,10,measured,10,measured,0,measured,,unavailable,,unavailable,,unavailable,27,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,63.94,measured,63.94,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),strsim,strsim,python,javascript,654,100,100,19,19,19,0,19,19,0,19,19,0,64,64,0,88.82,94.09,50,50,50,0,0,full,0,skel__strsim,1,measured,1275,measured,100.0,measured,19,measured,19,measured,0,measured,19,measured,,unavailable,,unavailable,,unavailable,50,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,47.62,measured,47.62,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),toml,toml,python,javascript,1206,100,100,12,12,10,2,12,12,0,12,12,0,150,150,0,72.63,83.22,47,43,47,4,0,full,0,skel__toml,1,measured,1728,measured,100.0,measured,12,measured,12,measured,4,measured,8,measured,,unavailable,,unavailable,,unavailable,47,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,39.03,measured,39.03,measured
Table 1,subtotal,skel,skel,SKEL (Python->JavaScript),Total,Total,python,javascript,4077,100.0,100.0,74,74,69,5,74,74,0,74,74,0,306,306,0,86.295,91.54375,302,291,302,11,0,,,,8,measured,7905,measured,100.0,measured,74,measured,72,partial,40,partial,32,partial,,unavailable,,unavailable,,unavailable,302,measured,,unavailable,,unavailable,,unavailable,6,measured,6,measured,6,measured,0,measured,53.66857142857143,partial,56.478571428571435,partial
Table 1,category,crust,swe-agent,SWE-agent (C->Rust),crust-bench (both compile),Crust-α,c,rust,22961,40,40,166,153,130,23,166,146,20,,,,493,493,0,68.17374999999998,75.71524999999998,673,,,,,full,0,crust__aes128-simd;crust__avalanche;crust__bhshell;crust__bigint;crust__btree-map;crust__c-string;crust__cfsm;crust__chtrie;crust__circularbuffer;crust__cjson;crust__clhash;crust__coroutine;crust__csyncmers;crust__fasthamming;crust__fft;crust__file2str;crust__fleur;crust__geofence;crust__inversion_list;crust__kairocompiler;crust__leftpad;crust__libbeaufort;crust__libqueue;crust__libtinyfseq;crust__libvcd;crust__libwecan;crust__ljmm;crust__matrix_multiplication;crust__morton;crust__murmurhash_c;crust__nandc;crust__phills_dht;crust__razz_simulation;crust__rect_pack_h;crust__remimu;crust__rubiksolver;crust__satc;crust__simplexml;crust__ulidgen;crust__worsp,40,measured,32417,measured,100.0,measured,166,measured,150,partial,136,partial,14,partial,1158,measured,1151,measured,7,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,1039,measured,953,measured,951,measured,2,measured,64.1584585441213,partial,91.18016821464286,partial
Table 1,category,crust,swe-agent,SWE-agent (C->Rust),crust-bench (agent compile only),Crust-β,c,rust,66704,0,49,321,0,0,0,320,295,25,,,,1118,1114,4,57.89795918367348,75.18448979591835,1900,,,,,full,0,crust__2dpartint;crust__42-kocaeli-printf;crust__amp;crust__approxidate;crust__bitset;crust__blt;crust__bostree;crust__c-aces;crust__carrays;crust__cissy;crust__clog;crust__cset;crust__emlang;crust__expr;crust__fs_c;crust__gfc;crust__gorilla-paper-encode;crust__graph-recogniser;crust__hamta;crust__holdem-odds;crust__hydra;crust__jccc;crust__lambda-calculus-eval;crust__lib2bit;crust__libbase122;crust__libfor;crust__libm17;crust__libpgn;crust__libpsbt;crust__ltre;crust__math-library-in-c;crust__mdb;crust__megalania;crust__mvptree;crust__quadtree;crust__rbtree-lab;crust__recordmanager;crust__rhbloom;crust__roaring-bitmap;crust__simple-config;crust__simple-sparsehash;crust__simple_lang;crust__skp;crust__slothlang;crust__ted;crust__totp;crust__utf8;crust__vec;crust__xopt,49,measured,90093,measured,100.0,measured,321,measured,337,partial,304,partial,33,partial,1723,partial,1699,partial,24,partial,,not_applicable,,not_applicable,,not_applicable,,not_applicable,1588,measured,1432,measured,1431,measured,1,measured,51.10244200677716,measured,86.75926710068987,measured
Table 1,category,crust,swe-agent,SWE-agent (C->Rust),crust-bench (tool compile only),Crust-σ,c,rust,3894,1,0,1,1,1,0,0,0,0,,,,53,51,2,4.31,67.42,41,,,,,full,0,crust__vaultsync,1,measured,5277,measured,100.0,measured,1,measured,,unavailable,,unavailable,,unavailable,66,measured,66,measured,0,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,65,measured,53,measured,53,measured,0,measured,44.79025710419486,measured,69.2828146143437,measured
Table 1,category,crust,swe-agent,SWE-agent (C->Rust),crust-bench (none compile),Crust-γ,c,rust,15169,0,0,135,0,0,0,0,0,0,,,,274,270,4,26.951999999999998,44.674,572,,,,,full,0,crust__c-blind-rsa-signatures;crust__dict;crust__fslib;crust__genetic-neural-network-for-simple-control;crust__impcheck;crust__kd3;crust__libutf;crust__linear-algebra-c;crust__merkle-tree-c;crust__tisp,10,measured,19425,measured,100.0,measured,135,measured,68,partial,60,partial,8,partial,296,partial,288,partial,8,partial,,not_applicable,,not_applicable,,not_applicable,,not_applicable,296,measured,219,measured,217,measured,2,measured,54.09669568499648,partial,75.37436159336004,partial
Table 1,subtotal,crust,swe-agent,SWE-agent (C->Rust),Total,Total,c,rust,108728,41,89,623,154,131,23,486,441,45,,,,1938,1928,10,39.33342729591836,65.74843494897958,3186,,,,,,,,100,measured,147212,measured,100.0,measured,623,measured,555,partial,500,partial,55,partial,3243,partial,3204,partial,39,partial,,not_applicable,,not_applicable,,not_applicable,,not_applicable,2988,measured,2657,measured,2652,measured,5,measured,53.53696333502245,partial,80.64915288075912,partial
Table 1,grand_total,ALL,ALL,Total,Total,Total,,,233057,96.9,99.4,2107,1068,542,526,1970,1822,148,1484,1456,28,3642,3629,13,70.79789587198515,85.3765336270872,4583,935,1366,462,31,,,,118,measured,234020,measured,100.0,measured,2107,measured,1059,partial,953,partial,106,partial,3669,partial,3630,partial,39,partial,1397,measured,20,partial,20,partial,0,partial,3792,measured,3446,measured,3441,measured,5,measured,46.38305129363696,partial,73.50229028960213,partial
