manifest_index,project_id,project,tool,repetition,execution_status,terminal,returncode,attempt,started_at,ended_at,error_class,error_excerpt,source_run_dir,reservation_depth,canonical_state_present
6,crust__bhshell,bhshell,crust,1,failed,True,1,1,2026-08-05T21:19:24.836532Z,2026-08-06T02:37:41.343366Z,,"(idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=20 M0 iter=1 passed=False M0 iter=2 passed=True M1 iter=1 passed=True M2 iter=1 passed=True M3 iter=1 passed=True M4 iter=1 passed=True M5 iter=1 passed=True M6 iter=1 passed=True M7 iter=1 passed=True M8 iter=1 passed=True M9 iter=1 passed=True M10 iter=1 passed=True M11 iter=1 passed=True M12 iter=1 passed=True M13 iter=1 passed=True M14 iter=1 passed=True M15 iter=1 passed=True M16 iter=1 passed=True M17 iter=1 passed=True M18 iter=1 passed=True M19 iter=1 passed=True M20 iter=1 passed=True",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bhshell/rep1,0,True
6,crust__bhshell,bhshell,crust,2,completed,True,0,1,2026-08-05T21:22:16.226165Z,2026-08-06T01:20:10.756690Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bhshell/rep2,0,True
7,crust__bigint,bigint,crust,0,failed,True,1,1,2026-08-05T21:49:52.694821Z,2026-08-05T22:42:19.028887Z,,"[codeweaver] project=crust__bigint app_id=full-crust__bigint-rep0 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bigint/rep0/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bigint/rep0,0,True
7,crust__bigint,bigint,crust,1,failed,True,1,1,2026-08-05T21:59:14.780905Z,2026-08-05T22:43:31.244591Z,,"[codeweaver] project=crust__bigint app_id=full-crust__bigint-rep1 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bigint/rep1/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bigint/rep1,0,True
7,crust__bigint,bigint,crust,2,failed,True,1,1,2026-08-05T22:35:03.345312Z,2026-08-05T23:17:46.375166Z,,"[codeweaver] project=crust__bigint app_id=full-crust__bigint-rep2 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bigint/rep2/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bigint/rep2,0,True
8,crust__bitset,bitset,crust,0,completed,True,0,1,2026-08-05T22:42:19.052117Z,2026-08-06T00:37:44.899694Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bitset/rep0,0,True
8,crust__bitset,bitset,crust,1,failed,True,1,1,2026-08-05T22:43:31.255323Z,2026-08-05T23:28:14.540765Z,,"[codeweaver] project=crust__bitset app_id=full-crust__bitset-rep1 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bitset/rep1/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bitset/rep1,0,True
8,crust__bitset,bitset,crust,2,failed,True,1,1,2026-08-05T23:12:23.361770Z,2026-08-06T00:37:56.327520Z,,"[codeweaver] project=crust__bitset app_id=full-crust__bitset-rep2 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bitset/rep2/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bitset/rep2,0,True
9,crust__blt,blt,crust,0,failed,True,1,1,2026-08-05T23:17:46.387847Z,2026-08-06T00:51:33.277101Z,,"[codeweaver] project=crust__blt app_id=full-crust__blt-rep0 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs/full/crust__blt/rep0/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__blt/rep0,0,True
9,crust__blt,blt,crust,1,failed,True,1,1,2026-08-05T23:28:14.547010Z,2026-08-06T00:57:46.299107Z,,"[codeweaver] project=crust__blt app_id=full-crust__blt-rep1 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs/full/crust__blt/rep1/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__blt/rep1,0,True
9,crust__blt,blt,crust,2,failed,True,1,1,2026-08-06T00:37:44.933369Z,2026-08-06T01:19:23.111014Z,,"[codeweaver] project=crust__blt app_id=full-crust__blt-rep2 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs/full/crust__blt/rep2/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__blt/rep2,0,True
10,crust__bostree,bostree,crust,0,completed,True,0,3,2026-08-06T05:43:02.204385Z,2026-08-06T06:18:10.695660Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bostree/rep0,0,True
10,crust__bostree,bostree,crust,1,failed,True,1,1,2026-08-06T00:47:58.653830Z,2026-08-06T01:44:06.348474Z,,"[codeweaver] project=crust__bostree app_id=full-crust__bostree-rep1 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bostree/rep1/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bostree/rep1,0,True
10,crust__bostree,bostree,crust,2,completed,True,0,3,2026-08-06T05:43:02.204197Z,2026-08-06T09:58:32.404091Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__bostree/rep2,0,True
11,crust__btree-map,btree-map,crust,0,completed,True,0,1,2026-08-06T00:57:46.307613Z,2026-08-06T02:17:14.464881Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__btree-map/rep0,0,True
11,crust__btree-map,btree-map,crust,1,completed,True,0,1,2026-08-06T01:19:23.122527Z,2026-08-06T02:01:56.852004Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__btree-map/rep1,0,True
11,crust__btree-map,btree-map,crust,2,completed,True,0,1,2026-08-06T01:20:10.760830Z,2026-08-06T02:59:27.734445Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__btree-map/rep2,0,True
12,crust__c-aces,c-aces,crust,0,completed,True,0,1,2026-08-06T01:44:06.356513Z,2026-08-06T03:12:22.735077Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-aces/rep0,0,True
12,crust__c-aces,c-aces,crust,1,completed,True,0,2,2026-08-06T03:38:31.476244Z,2026-08-06T04:01:30.054009Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-aces/rep1,0,True
12,crust__c-aces,c-aces,crust,2,completed,True,0,2,2026-08-06T04:01:30.068285Z,2026-08-06T04:07:21.073866Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-aces/rep2,0,True
13,crust__c-blind-rsa-signatures,c-blind-rsa-signatures,crust,0,completed,True,0,2,2026-08-06T04:07:21.078035Z,2026-08-06T04:27:31.765203Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-blind-rsa-signatures/rep0,0,True
13,crust__c-blind-rsa-signatures,c-blind-rsa-signatures,crust,1,completed,True,0,3,2026-08-06T06:18:10.760973Z,2026-08-06T06:24:23.304851Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-blind-rsa-signatures/rep1,0,True
13,crust__c-blind-rsa-signatures,c-blind-rsa-signatures,crust,2,completed,True,0,2,2026-08-06T06:24:23.310424Z,2026-08-06T07:59:29.901710Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-blind-rsa-signatures/rep2,0,True
14,crust__c-string,c-string,crust,0,completed,True,0,2,2026-08-06T07:59:29.907012Z,2026-08-06T08:37:23.237034Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-string/rep0,0,True
14,crust__c-string,c-string,crust,1,completed,True,0,1,2026-08-06T08:37:23.275636Z,2026-08-06T09:39:35.064848Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-string/rep1,0,True
14,crust__c-string,c-string,crust,2,completed,True,0,1,2026-08-06T09:39:35.072802Z,2026-08-06T10:31:11.449177Z,,,/opt/codeweaver-gpt-sol-comparison/runs/full/crust__c-string/rep2,0,True
15,crust__carrays,carrays,crust,0,completed,True,0,1,2026-08-05T18:31:35.089377Z,2026-08-05T20:15:16.608691Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__carrays/rep0,1,True
15,crust__carrays,carrays,crust,1,completed,True,0,1,2026-08-05T18:31:35.090376Z,2026-08-05T19:39:36.776344Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__carrays/rep1,1,True
15,crust__carrays,carrays,crust,2,completed,True,0,1,2026-08-05T18:31:35.091209Z,2026-08-05T19:44:07.053787Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__carrays/rep2,1,True
16,crust__cfsm,cfsm,crust,0,failed,True,1,1,2026-08-05T18:31:35.092850Z,2026-08-05T19:16:10.470500Z,,"[codeweaver] project=crust__cfsm app_id=full-crust__cfsm-rep0 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cfsm/rep0/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cfsm/rep0,1,True
16,crust__cfsm,cfsm,crust,1,failed,True,1,1,2026-08-05T18:31:35.093752Z,2026-08-05T19:16:11.507082Z,,"[codeweaver] project=crust__cfsm app_id=full-crust__cfsm-rep1 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cfsm/rep1/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cfsm/rep1,1,True
16,crust__cfsm,cfsm,crust,2,failed,True,1,1,2026-08-05T18:31:35.097315Z,2026-08-05T19:17:22.078777Z,,"[codeweaver] project=crust__cfsm app_id=full-crust__cfsm-rep2 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cfsm/rep2/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cfsm/rep2,1,True
17,crust__chtrie,chtrie,crust,0,completed,True,0,1,2026-08-05T19:16:10.480972Z,2026-08-05T20:12:49.639461Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__chtrie/rep0,1,True
17,crust__chtrie,chtrie,crust,1,completed,True,0,1,2026-08-05T19:16:11.513705Z,2026-08-05T20:06:53.822143Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__chtrie/rep1,1,True
17,crust__chtrie,chtrie,crust,2,completed,True,0,1,2026-08-05T19:17:22.082607Z,2026-08-05T20:12:16.808257Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__chtrie/rep2,1,True
18,crust__circularbuffer,circularbuffer,crust,0,completed,True,0,1,2026-08-05T19:39:36.784002Z,2026-08-05T20:25:03.763137Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__circularbuffer/rep0,1,True
18,crust__circularbuffer,circularbuffer,crust,1,completed,True,0,1,2026-08-05T19:44:07.076243Z,2026-08-05T20:35:30.141811Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__circularbuffer/rep1,1,True
18,crust__circularbuffer,circularbuffer,crust,2,completed,True,0,1,2026-08-05T20:06:53.825307Z,2026-08-05T20:57:01.362368Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__circularbuffer/rep2,1,True
19,crust__cissy,cissy,crust,0,completed,True,0,1,2026-08-05T20:12:16.812930Z,2026-08-05T23:04:49.199967Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cissy/rep0,1,True
19,crust__cissy,cissy,crust,1,failed,True,1,1,2026-08-05T20:12:49.642299Z,2026-08-05T21:30:12.745605Z,,"[codeweaver] project=crust__cissy app_id=full-crust__cissy-rep1 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cissy/rep1/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=1 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=True M1 iter=1 passed=False M1 iter=2 passed=False M1 iter=3 passed=False M1 iter=4 passed=False M1 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cissy/rep1,1,True
19,crust__cissy,cissy,crust,2,failed,True,1,1,2026-08-05T20:15:16.614014Z,2026-08-05T21:07:45.542714Z,,"[codeweaver] project=crust__cissy app_id=full-crust__cissy-rep2 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cissy/rep2/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cissy/rep2,1,True
20,crust__cjson,cjson,crust,0,completed,True,0,1,2026-08-05T20:25:03.767034Z,2026-08-05T21:30:04.022928Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cjson/rep0,1,True
20,crust__cjson,cjson,crust,1,completed,True,0,1,2026-08-05T20:35:30.147521Z,2026-08-05T22:07:29.368521Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cjson/rep1,1,True
20,crust__cjson,cjson,crust,2,completed,True,0,1,2026-08-05T20:57:01.368001Z,2026-08-05T21:58:10.387784Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__cjson/rep2,1,True
21,crust__clhash,clhash,crust,0,completed,True,0,1,2026-08-05T21:07:45.548719Z,2026-08-05T22:57:53.466901Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__clhash/rep0,1,True
21,crust__clhash,clhash,crust,1,completed,True,0,1,2026-08-05T21:30:04.030748Z,2026-08-05T22:47:26.574113Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__clhash/rep1,1,True
21,crust__clhash,clhash,crust,2,completed,True,0,1,2026-08-05T21:30:12.749666Z,2026-08-05T23:32:37.995048Z,,,/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__clhash/rep2,1,True
22,crust__clog,clog,crust,0,failed,True,1,1,2026-08-05T21:58:10.394179Z,2026-08-05T22:51:52.478253Z,,"[codeweaver] project=crust__clog app_id=full-crust__clog-rep0 mock=False db=/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__clog/rep0/pipeline/burr.db [codeweaver] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=0 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__clog/rep0,1,True
22,crust__clog,clog,crust,1,failed,True,1,1,2026-08-05T22:07:29.376628Z,2026-08-06T02:07:28.425822Z,,"] loaded state at startup: milestone_idx=0 history_len=0 (idx>0 => resumed, not restarted) [codeweaver] finished at terminal: done, history, milestone_idx, report, parity_complete, parity_report -> {}: done=False milestone_idx=9 M0 iter=1 passed=False M0 iter=2 passed=False M0 iter=3 passed=False M0 iter=4 passed=False M0 iter=5 passed=True M1 iter=1 passed=True M2 iter=1 passed=True M3 iter=1 passed=True M4 iter=1 passed=True M5 iter=1 passed=True M6 iter=1 passed=True M7 iter=1 passed=True M8 iter=1 passed=False M8 iter=2 passed=False M8 iter=3 passed=True M9 iter=1 passed=False M9 iter=2 passed=False M9 iter=3 passed=False M9 iter=4 passed=False M9 iter=5 passed=False",/opt/codeweaver-gpt-sol-comparison/runs-shard4/full/crust__clog/rep1,1,True
