subject_id,subject,modules,module_count,test_count,repetition,pipeline_status,tests_expected,tests_executed,tests_passed,tests_failed,tests_not_executed,terminal_run,terminal_run_status,terminal_run_reason,contract_integrity,contract_integrity_status,contract_integrity_reason,compilation,compilation_status,compilation_reason,fixed_contract_tests,fixed_contract_tests_status,fixed_contract_tests_reason,elapsed_seconds,elapsed_seconds_status,elapsed_seconds_reason,input_tokens,input_tokens_status,input_tokens_reason,output_tokens,output_tokens_status,output_tokens_reason,nano_aiu,nano_aiu_status,nano_aiu_reason,premium_requests,premium_requests_status,premium_requests_reason,safe_rate_status,safe_rate_reason,total_lines,unsafe_lines,safe_lines,safe_rate_percent,unsafe_functions,unsafe_blocks
11,rb-tree,rb-tree,1,6,0,completed,6,6,6,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2928.446658,measured,,,unavailable,Copilot logs do not expose input_tokens,220031,measured,,1919376500000,measured,,1,measured,,measured,,2082,1744,338,16.234390009606148,65,31
12,set,set,1,11,0,completed,11,11,11,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2789.398253,measured,,,unavailable,Copilot logs do not expose input_tokens,202563,measured,,1835929800000,measured,,1,measured,,measured,,1812,1448,364,20.08830022075055,64,26
13,slist,slist,1,14,0,completed,14,14,14,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2899.785947,measured,,,unavailable,Copilot logs do not expose input_tokens,214624,measured,,1894271050000,measured,,1,measured,,measured,,1474,1151,323,21.91316146540027,55,110
14,sortedarray,sortedarray,1,7,0,completed,7,7,7,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2399.715075,measured,,,unavailable,Copilot logs do not expose input_tokens,184353,measured,,1430747900000,measured,,1,measured,,measured,,1120,428,692,61.785714285714285,23,43
15,trie,trie,1,11,0,completed,11,11,11,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3146.41695,measured,,,unavailable,Copilot logs do not expose input_tokens,230750,measured,,2016115200000,measured,,1,measured,,measured,,1899,1594,305,16.06108478146393,43,25
1,arraylist,arraylist,1,9,1,completed,9,9,9,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3046.499534,measured,,,unavailable,Copilot logs do not expose input_tokens,161608,measured,,1268440275000,measured,,0,measured,,measured,,1052,784,268,25.475285171102662,36,72
2,avl-tree,avl-tree,1,8,1,completed,8,8,8,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3290.425866,measured,,,unavailable,Copilot logs do not expose input_tokens,182983,measured,,1733281200000,measured,,0,measured,,measured,,1317,1034,283,21.488230827638574,48,17
3,binary-heap,binary-heap,1,5,1,completed,5,5,5,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3198.58332,measured,,,unavailable,Copilot logs do not expose input_tokens,185281,measured,,1617471850000,measured,,0,measured,,measured,,1160,876,284,24.482758620689655,31,16
4,binomial-heap,binomial-heap,1,6,1,completed,6,6,6,0,0,True,measured,,True,measured,,True,measured,,True,measured,,5050.313212,measured,,,unavailable,Copilot logs do not expose input_tokens,249445,measured,,2101252350000,measured,,0,measured,,measured,,1985,485,1500,75.56675062972292,23,129
5,bloom-filter,bloom-filter,1,6,1,completed,6,6,6,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3378.467866,measured,,,unavailable,Copilot logs do not expose input_tokens,175236,measured,,1452340375000,measured,,0,measured,,measured,,1079,343,736,68.21130676552363,22,63
6,compare-functions,"compare-int,compare-pointer,compare-string",3,8,1,completed,8,8,8,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2534.063591,measured,,,unavailable,Copilot logs do not expose input_tokens,141961,measured,,1139882900000,measured,,1,measured,,measured,,637,334,303,47.56671899529042,16,33
7,hash-functions,"hash-int,hash-pointer,hash-string",3,4,1,completed,4,4,4,0,0,True,measured,,True,measured,,True,measured,,True,measured,,1779.59148,measured,,,unavailable,Copilot logs do not expose input_tokens,104369,measured,,892928600000,measured,,1,measured,,measured,,248,26,222,89.51612903225806,4,8
8,hash-table,hash-table,1,8,1,completed,8,8,8,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2912.008494,measured,,,unavailable,Copilot logs do not expose input_tokens,202531,measured,,1768982650000,measured,,0,measured,,measured,,1963,1425,538,27.407030056036678,52,25
9,list,list,1,14,1,completed,14,14,14,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2933.898845,measured,,,unavailable,Copilot logs do not expose input_tokens,212448,measured,,1915097125000,measured,,1,measured,,measured,,1732,1378,354,20.438799076212472,47,24
10,queue,queue,1,8,1,completed,8,8,8,0,0,True,measured,,True,measured,,True,measured,,True,measured,,1813.556405,measured,,,unavailable,Copilot logs do not expose input_tokens,138922,measured,,1209297550000,measured,,0,measured,,measured,,719,566,153,21.279554937413074,29,15
11,rb-tree,rb-tree,1,6,1,completed,6,6,6,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3123.024479,measured,,,unavailable,Copilot logs do not expose input_tokens,233925,measured,,2077272450000,measured,,1,measured,,measured,,2023,1593,430,21.255561047948593,57,27
12,set,set,1,11,1,completed,11,11,11,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2351.274331,measured,,,unavailable,Copilot logs do not expose input_tokens,181936,measured,,1609045850000,measured,,1,measured,,measured,,1408,1069,339,24.076704545454547,60,22
13,slist,slist,1,14,1,completed,14,14,14,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2739.538693,measured,,,unavailable,Copilot logs do not expose input_tokens,207429,measured,,1807632000000,measured,,1,measured,,measured,,1586,1283,303,19.1046658259773,44,104
14,sortedarray,sortedarray,1,7,1,completed,7,7,7,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2054.37119,measured,,,unavailable,Copilot logs do not expose input_tokens,154599,measured,,1293170450000,measured,,1,measured,,measured,,1410,937,473,33.54609929078014,32,29
15,trie,trie,1,11,1,completed,11,11,11,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3110.038603,measured,,,unavailable,Copilot logs do not expose input_tokens,221621,measured,,1972625200000,measured,,1,measured,,measured,,1386,577,809,58.36940836940837,30,79
1,arraylist,arraylist,1,9,2,completed,9,9,9,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2896.722181,measured,,,unavailable,Copilot logs do not expose input_tokens,151558,measured,,1376136450000,measured,,0,measured,,measured,,1395,1204,191,13.691756272401435,38,14
2,avl-tree,avl-tree,1,8,2,completed,8,8,8,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2110.75099,measured,,,unavailable,Copilot logs do not expose input_tokens,162105,measured,,1358970775000,measured,,1,measured,,measured,,1307,1050,257,19.663351185921957,44,77
3,binary-heap,binary-heap,1,5,2,completed,5,5,5,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3221.731536,measured,,,unavailable,Copilot logs do not expose input_tokens,175811,measured,,1523207225000,measured,,0,measured,,measured,,1560,1304,256,16.41025641025641,31,17
4,binomial-heap,binomial-heap,1,6,2,completed,6,6,6,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3173.455266,measured,,,unavailable,Copilot logs do not expose input_tokens,184129,measured,,1410122425000,measured,,0,measured,,measured,,1398,1129,269,19.241773962804007,44,18
5,bloom-filter,bloom-filter,1,6,2,completed,6,6,6,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3036.187139,measured,,,unavailable,Copilot logs do not expose input_tokens,165291,measured,,1494796425000,measured,,0,measured,,measured,,976,568,408,41.80327868852459,31,20
6,compare-functions,"compare-int,compare-pointer,compare-string",3,8,2,completed,8,8,8,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2097.444989,measured,,,unavailable,Copilot logs do not expose input_tokens,120104,measured,,917764625000,measured,,0,measured,,measured,,516,270,246,47.674418604651166,16,31
7,hash-functions,"hash-int,hash-pointer,hash-string",3,4,2,completed,4,4,4,0,0,True,measured,,True,measured,,True,measured,,True,measured,,1716.05625,measured,,,unavailable,Copilot logs do not expose input_tokens,115565,measured,,917875675000,measured,,1,measured,,measured,,223,39,184,82.51121076233184,5,18
8,hash-table,hash-table,1,8,2,completed,8,8,8,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2972.059425,measured,,,unavailable,Copilot logs do not expose input_tokens,211996,measured,,1842604950000,measured,,1,measured,,measured,,1733,470,1263,72.8793998845932,34,160
9,list,list,1,14,2,completed,14,14,14,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2372.37015,measured,,,unavailable,Copilot logs do not expose input_tokens,169671,measured,,1577206150000,measured,,0,measured,,measured,,1524,1284,240,15.748031496062993,45,26
10,queue,queue,1,8,2,completed,8,8,8,0,0,True,measured,,True,measured,,True,measured,,True,measured,,1600.839341,measured,,,unavailable,Copilot logs do not expose input_tokens,128224,measured,,1081689975000,measured,,1,measured,,measured,,960,700,260,27.083333333333332,36,73
11,rb-tree,rb-tree,1,6,2,completed,6,6,6,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3037.354271,measured,,,unavailable,Copilot logs do not expose input_tokens,220385,measured,,1964587775000,measured,,0,measured,,measured,,2023,1699,324,16.01581809194266,67,185
12,set,set,1,11,2,completed,11,11,11,0,0,True,measured,,True,measured,,True,measured,,True,measured,,3212.243344,measured,,,unavailable,Copilot logs do not expose input_tokens,236406,measured,,2117895975000,measured,,1,measured,,measured,,2237,1789,448,20.026821636119802,63,193
13,slist,slist,1,14,2,completed,14,14,14,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2817.07808,measured,,,unavailable,Copilot logs do not expose input_tokens,191599,measured,,1661052100000,measured,,1,measured,,measured,,1450,1244,206,14.206896551724139,46,24
14,sortedarray,sortedarray,1,7,2,completed,7,7,7,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2376.516799,measured,,,unavailable,Copilot logs do not expose input_tokens,177688,measured,,1395159175000,measured,,1,measured,,measured,,1288,1029,259,20.108695652173914,42,73
15,trie,trie,1,11,2,completed,11,11,11,0,0,True,measured,,True,measured,,True,measured,,True,measured,,2441.113466,measured,,,unavailable,Copilot logs do not expose input_tokens,176455,measured,,1490179825000,measured,,1,measured,,measured,,1343,958,385,28.66716306775875,42,58
