table,row_type,dataset_tool,tool_label,project_key,project,source_language,target_language,paper_tests,paper_tests_translated,paper_tests_not_translated,paper_assertion_count_matching_tests,paper_assertion_count_nonmatching_tests,paper_assert_equal_output_total,paper_assert_equal_output_matching,paper_assert_equal_type_match_percent,paper_assert_true_type_match_percent,paper_assert_false_type_match_percent,paper_other_type_match_percent,paper_avg_cosine_similarity,paper_avg_source_loc,paper_avg_target_loc,paper_avg_source_method_calls,paper_avg_target_method_calls,codeweaver_variant,codeweaver_repetition,codeweaver_tests,codeweaver_tests_status,codeweaver_tests_translated,codeweaver_tests_translated_status,codeweaver_tests_not_translated,codeweaver_tests_not_translated_status,codeweaver_assertion_count_matching_tests,codeweaver_assertion_count_matching_tests_status,codeweaver_assertion_count_nonmatching_tests,codeweaver_assertion_count_nonmatching_tests_status,codeweaver_assert_equal_output_total,codeweaver_assert_equal_output_total_status,codeweaver_assert_equal_output_matching,codeweaver_assert_equal_output_matching_status,codeweaver_assert_equal_type_match_percent,codeweaver_assert_equal_type_match_percent_status,codeweaver_assert_true_type_match_percent,codeweaver_assert_true_type_match_percent_status,codeweaver_assert_false_type_match_percent,codeweaver_assert_false_type_match_percent_status,codeweaver_other_type_match_percent,codeweaver_other_type_match_percent_status,codeweaver_avg_cosine_similarity,codeweaver_avg_cosine_similarity_status,codeweaver_avg_source_loc,codeweaver_avg_source_loc_status,codeweaver_avg_target_loc,codeweaver_avg_target_loc_status,codeweaver_avg_source_method_calls,codeweaver_avg_source_method_calls_status,codeweaver_avg_target_method_calls,codeweaver_avg_target_method_calls_status
Table 2,project,alphatrans,AlphaTrans (Java->Python),commons-validator,validator,java,python,463,463,0,458,5,374,374,98.52,99.28,99.49,90.72,0.8878,17.69,17.23,18.78,18.3,full,0,463.0,measured,239.0,measured,224.0,measured,154.0,measured,309.0,measured,131.0,measured,125.0,measured,63.65546218487395,measured,57.805255023183925,measured,44.035532994923855,measured,12.865497076023392,measured,0.729266,measured,20.78,measured,10.74,measured,23.13,measured,8.77,measured
Table 2,subtotal,alphatrans,AlphaTrans (Java->Python),Total,Total,java,python,1181,1181,0,1170,11,1070,1070,99.5325,95.195,90.5425,95.3625,0.8895,12.17,11.285,12.5375,11.9375,,,1181,measured,673,measured,508,measured,476,measured,705,measured,480,measured,455,measured,75.29652197903978,measured,56.63573190175259,measured,26.026022841189544,measured,27.032050410263384,measured,0.68847025,measured,13.545,measured,10.0425,measured,14.0925,measured,7.6575,measured
Table 2,project,skel,SKEL (Python->JavaScript),bst,bst,python,javascript,11,11,0,11,0,74,74,100,,,,0.91,22.27,22.64,5.73,12,full,0,11.0,measured,0.0,measured,11.0,measured,0.0,measured,11.0,measured,0.0,measured,0.0,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,,not_applicable
Table 2,project,skel,SKEL (Python->JavaScript),colorsys,colorsys,python,javascript,2,2,0,2,0,39,39,100,,,,0.93,67,65,45,44,full,0,2.0,measured,2.0,measured,0.0,measured,0.0,measured,2.0,measured,0.0,measured,0.0,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,0.924835,measured,67.0,measured,66.5,measured,45.0,measured,44.0,measured
Table 2,project,skel,SKEL (Python->JavaScript),heapq,heapq,python,javascript,8,8,0,8,0,29,29,100,,,,0.9,13.12,13.38,11.25,10.25,full,0,8.0,measured,8.0,measured,0.0,measured,6.0,measured,2.0,measured,0.0,measured,0.0,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,0.913448,measured,13.12,measured,11.12,measured,11.25,measured,10.25,measured
Table 2,project,skel,SKEL (Python->JavaScript),html,html,python,javascript,7,7,0,7,0,19,19,100,,,,0.92,24.71,22.71,20.29,19.29,full,0,7.0,measured,7.0,measured,0.0,measured,6.0,measured,1.0,measured,0.0,measured,0.0,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,0.917298,measured,24.71,measured,24.57,measured,20.29,measured,19.14,measured
Table 2,project,skel,SKEL (Python->JavaScript),mathgen,mathgen,python,javascript,5,5,0,5,0,163,163,100,,,,0.93,47,51,49,42,full,0,5.0,measured,5.0,measured,0.0,measured,0.0,measured,5.0,measured,0.0,measured,0.0,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,0.927251,measured,47.0,measured,52.0,measured,49.0,measured,43.0,measured
Table 2,project,skel,SKEL (Python->JavaScript),rbt,rbt,python,javascript,10,10,0,10,0,16,16,100,,,,0.91,17.9,19.6,20.9,17.1,full,0,10.0,measured,10.0,measured,0.0,measured,2.0,measured,8.0,measured,0.0,measured,0.0,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,0.91403,measured,17.9,measured,20.2,measured,20.9,measured,20.0,measured
Table 2,project,skel,SKEL (Python->JavaScript),strsim,strsim,python,javascript,19,19,0,19,0,150,150,100,,,,0.93,18.74,17.21,22.84,21.84,full,0,19.0,measured,19.0,measured,0.0,measured,0.0,measured,19.0,measured,0.0,measured,0.0,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,0.924546,measured,18.74,measured,15.79,measured,22.84,measured,21.84,measured
Table 2,project,skel,SKEL (Python->JavaScript),toml,toml,python,javascript,12,12,0,12,0,17,17,100,,,,0.9,8.67,8.75,6.08,7,full,0,12.0,measured,12.0,measured,0.0,measured,0.0,measured,12.0,measured,0.0,measured,0.0,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,0.858834,measured,8.67,measured,13.0,measured,6.08,measured,11.83,measured
Table 2,subtotal,skel,SKEL (Python->JavaScript),Total,Total,python,javascript,74,74,0,74,0,507,507,100.0,,,,0.91625,27.42625,27.53625,22.63625,21.685,,,74,measured,63,measured,11,measured,14,measured,60,measured,0,measured,0,measured,,not_applicable,,not_applicable,,not_applicable,,not_applicable,0.9114631428571428,measured,28.162857142857142,measured,29.025714285714287,measured,25.05142857142857,measured,24.294285714285714,measured
Table 2,grand_total,ALL,Total,Total,Total,,,1484,1484,0,1473,11,1891,1891,98.54,95.195,90.5425,95.3625,0.9115555555555557,21.628888888888888,21.58388888888889,16.396666666666665,15.23611111111111,,,1484,measured,933,measured,551,measured,608,measured,876,measured,480,measured,455,measured,86.64274400559677,measured,56.63573190175259,measured,26.026022841189544,measured,27.032050410263384,measured,0.8416412941176471,measured,21.954705882352943,measured,20.38529411764706,measured,17.34058823529412,measured,15.366470588235295,measured
