table,row_type,dataset_tool,paper_prior_tool,tool_label,project_key,project,source_language,target_language,paper_loc,paper_compilation_success_prior_tool_percent,paper_compilation_success_recodeagent_percent,paper_validated_tests_expected,paper_validated_prior_executed,paper_validated_prior_passed,paper_validated_prior_failed,paper_validated_recodeagent_executed,paper_validated_recodeagent_passed,paper_validated_recodeagent_failed,paper_translated_recodeagent_executed,paper_translated_recodeagent_passed,paper_translated_recodeagent_failed,paper_generated_recodeagent_executed,paper_generated_recodeagent_passed,paper_generated_recodeagent_failed,paper_coverage_before_percent,paper_coverage_after_percent,paper_function_total,paper_function_prior_success,paper_function_recodeagent_success,paper_function_prior_failed,paper_function_recodeagent_failed,codeweaver_variant,codeweaver_repetition,codeweaver_member_project_ids,codeweaver_project_count,codeweaver_project_count_status,codeweaver_loc,codeweaver_loc_status,codeweaver_compilation_success_percent,codeweaver_compilation_success_percent_status,codeweaver_validated_tests_expected,codeweaver_validated_tests_expected_status,codeweaver_validated_tests_executed,codeweaver_validated_tests_executed_status,codeweaver_validated_tests_passed,codeweaver_validated_tests_passed_status,codeweaver_validated_tests_failed,codeweaver_validated_tests_failed_status,codeweaver_translated_tests_executed,codeweaver_translated_tests_executed_status,codeweaver_translated_tests_passed,codeweaver_translated_tests_passed_status,codeweaver_translated_tests_failed,codeweaver_translated_tests_failed_status,codeweaver_function_validation_expected,codeweaver_function_validation_expected_status,codeweaver_function_validation_executed,codeweaver_function_validation_executed_status,codeweaver_function_validation_passed,codeweaver_function_validation_passed_status,codeweaver_function_validation_failed,codeweaver_function_validation_failed_status,codeweaver_generated_tests_expected,codeweaver_generated_tests_expected_status,codeweaver_generated_tests_executed,codeweaver_generated_tests_executed_status,codeweaver_generated_tests_passed,codeweaver_generated_tests_passed_status,codeweaver_generated_tests_failed,codeweaver_generated_tests_failed_status,codeweaver_coverage_before_percent,codeweaver_coverage_before_percent_status,codeweaver_coverage_after_percent,codeweaver_coverage_after_percent_status
Table 1,project,alphatrans,alphatrans,AlphaTrans (Java->Python),commons-validator,validator,java,python,41605,100,100,463,359,114,245,463,438,25,463,435,28,132,131,1,64.98,73.04,409,217,397,192,12,full,0,alphatrans__commons-validator,1,measured,25271,measured,100.0,measured,463,measured,20,measured,0,measured,20,measured,,unavailable,,unavailable,,unavailable,409,measured,,unavailable,,unavailable,,unavailable,13,measured,13,measured,13,measured,0,measured,18.452860596293313,measured,19.74214343271555,measured
Table 1,subtotal,alphatrans,alphatrans,AlphaTrans (Java->Python),Total,Total,java,python,116085,100.0,100.0,1181,611,188,423,1181,1078,103,1181,1153,28,789,786,3,71.19,81.92750000000001,904,506,874,398,30,,,,4,measured,52693,measured,100.0,measured,1181,measured,410,partial,207,partial,203,partial,,unavailable,,unavailable,,unavailable,904,measured,,unavailable,,unavailable,,unavailable,342,measured,342,measured,342,measured,0,measured,42.8027583317197,measured,61.54950855037057,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),bst,bst,python,javascript,123,100,100,11,11,11,0,11,11,0,11,11,0,6,6,0,89.71,99.03,21,21,21,0,0,full,0,skel__bst,1,measured,675,measured,100.0,measured,11,measured,11,measured,0,measured,11,measured,,unavailable,,unavailable,,unavailable,21,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,41.27,measured,41.27,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),colorsys,colorsys,python,javascript,120,100,100,2,2,2,0,2,2,0,2,2,0,46,46,0,86.98,91.27,9,9,9,0,0,full,0,skel__colorsys,1,measured,307,measured,100.0,measured,2,measured,2,measured,2,measured,0,measured,,unavailable,,unavailable,,unavailable,9,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,80.0,measured,80.0,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),heapq,heapq,python,javascript,189,100,100,8,8,7,1,8,8,0,8,8,0,11,11,0,91.64,91.64,24,23,24,1,0,full,0,skel__heapq,1,measured,396,measured,100.0,measured,8,measured,8,measured,8,measured,0,measured,,unavailable,,unavailable,,unavailable,24,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,85.62,measured,85.62,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),html,html,python,javascript,684,100,100,7,7,6,1,7,7,0,7,7,0,13,13,0,77.11,86.11,42,39,42,3,0,full,0,skel__html,1,measured,1344,measured,100.0,measured,7,measured,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,42,measured,,unavailable,,unavailable,,unavailable,2,measured,2,measured,2,measured,0,measured,93.27,measured,93.27,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),mathgen,mathgen,python,javascript,735,100,100,5,5,4,1,5,5,0,5,5,0,11,11,0,96.42,98.64,82,79,82,3,0,full,0,skel__mathgen,1,measured,1404,measured,100.0,measured,5,measured,5,measured,0,measured,5,measured,,unavailable,,unavailable,,unavailable,82,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,39.74,measured,39.74,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),rbt,rbt,python,javascript,366,100,100,10,10,10,0,10,10,0,10,10,0,5,5,0,87.05,88.35,27,27,27,0,0,full,0,skel__rbt,1,measured,776,measured,100.0,measured,10,measured,10,measured,6,measured,4,measured,,unavailable,,unavailable,,unavailable,27,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,81.29,measured,81.29,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),strsim,strsim,python,javascript,654,100,100,19,19,19,0,19,19,0,19,19,0,64,64,0,88.82,94.09,50,50,50,0,0,full,0,skel__strsim,1,measured,1275,measured,100.0,measured,19,measured,19,measured,0,measured,19,measured,,unavailable,,unavailable,,unavailable,50,measured,,unavailable,,unavailable,,unavailable,0,measured,0,measured,0,measured,0,measured,25.95,measured,25.95,measured
Table 1,project,skel,skel,SKEL (Python->JavaScript),toml,toml,python,javascript,1206,100,100,12,12,10,2,12,12,0,12,12,0,150,150,0,72.63,83.22,47,43,47,4,0,full,0,skel__toml,1,measured,1728,measured,100.0,measured,12,measured,12,measured,2,measured,10,measured,,unavailable,,unavailable,,unavailable,47,measured,,unavailable,,unavailable,,unavailable,2,measured,2,measured,2,measured,0,measured,31.93,measured,47.97,measured
Table 1,subtotal,skel,skel,SKEL (Python->JavaScript),Total,Total,python,javascript,4077,100.0,100.0,74,74,69,5,74,74,0,74,74,0,306,306,0,86.295,91.54375,302,291,302,11,0,,,,8,measured,7905,measured,100.0,measured,74,measured,67,partial,18,partial,49,partial,,unavailable,,unavailable,,unavailable,302,measured,,unavailable,,unavailable,,unavailable,4,measured,4,measured,4,measured,0,measured,59.88375,measured,61.88875,measured
Table 1,category,crust,swe-agent,SWE-agent (C->Rust),crust-bench (both compile),Crust-α,c,rust,22961,40,40,166,153,130,23,166,146,20,,,,493,493,0,68.17374999999998,75.71524999999998,673,,,,,full,0,crust__aes128-simd;crust__avalanche;crust__bhshell;crust__bigint;crust__btree-map;crust__c-string;crust__cfsm;crust__chtrie;crust__circularbuffer;crust__cjson;crust__clhash;crust__coroutine;crust__csyncmers;crust__fasthamming;crust__fft;crust__file2str;crust__fleur;crust__geofence;crust__inversion_list;crust__kairocompiler;crust__leftpad;crust__libbeaufort;crust__libqueue;crust__libtinyfseq;crust__libvcd;crust__libwecan;crust__ljmm;crust__matrix_multiplication;crust__morton;crust__murmurhash_c;crust__nandc;crust__phills_dht;crust__razz_simulation;crust__rect_pack_h;crust__remimu;crust__rubiksolver;crust__satc;crust__simplexml;crust__ulidgen;crust__worsp,40,measured,32417,measured,100.0,partial,166,measured,688,partial,688,partial,0,partial,840,partial,840,partial,0,partial,,not_applicable,,not_applicable,,not_applicable,,not_applicable,725,measured,654,measured,653,measured,1,measured,68.96689073359875,partial,79.90158187252077,partial
Table 1,category,crust,swe-agent,SWE-agent (C->Rust),crust-bench (agent compile only),Crust-β,c,rust,66704,0,49,321,0,0,0,320,295,25,,,,1118,1114,4,57.89795918367348,75.18448979591835,1900,,,,,full,0,crust__2dpartint;crust__42-kocaeli-printf;crust__amp;crust__approxidate;crust__bitset;crust__blt;crust__bostree;crust__c-aces;crust__carrays;crust__cissy;crust__clog;crust__cset;crust__emlang;crust__expr;crust__fs_c;crust__gfc;crust__gorilla-paper-encode;crust__graph-recogniser;crust__hamta;crust__holdem-odds;crust__hydra;crust__jccc;crust__lambda-calculus-eval;crust__lib2bit;crust__libbase122;crust__libfor;crust__libm17;crust__libpgn;crust__libpsbt;crust__ltre;crust__math-library-in-c;crust__mdb;crust__megalania;crust__mvptree;crust__quadtree;crust__rbtree-lab;crust__recordmanager;crust__rhbloom;crust__roaring-bitmap;crust__simple-config;crust__simple-sparsehash;crust__simple_lang;crust__skp;crust__slothlang;crust__ted;crust__totp;crust__utf8;crust__vec;crust__xopt,49,measured,90093,measured,100.0,measured,321,measured,594,partial,592,partial,2,partial,724,partial,722,partial,2,partial,,not_applicable,,not_applicable,,not_applicable,,not_applicable,375,measured,373,measured,372,measured,1,measured,62.0974485635182,partial,70.01130902259384,partial
Table 1,category,crust,swe-agent,SWE-agent (C->Rust),crust-bench (tool compile only),Crust-σ,c,rust,3894,1,0,1,1,1,0,0,0,0,,,,53,51,2,4.31,67.42,41,,,,,full,0,crust__vaultsync,1,measured,5277,measured,,unavailable,1,measured,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,unavailable,,not_applicable,,not_applicable,,not_applicable,,not_applicable,13,measured,0,measured,0,measured,0,measured,,unavailable,,unavailable
Table 1,category,crust,swe-agent,SWE-agent (C->Rust),crust-bench (none compile),Crust-γ,c,rust,15169,0,0,135,0,0,0,0,0,0,,,,274,270,4,26.951999999999998,44.674,572,,,,,full,0,crust__c-blind-rsa-signatures;crust__dict;crust__fslib;crust__genetic-neural-network-for-simple-control;crust__impcheck;crust__kd3;crust__libutf;crust__linear-algebra-c;crust__merkle-tree-c;crust__tisp,10,measured,19425,measured,100.0,partial,135,measured,150,partial,148,partial,2,partial,194,partial,192,partial,2,partial,,not_applicable,,not_applicable,,not_applicable,,not_applicable,71,measured,60,measured,60,measured,0,measured,41.54519604191679,partial,45.42823697758931,partial
Table 1,subtotal,crust,swe-agent,SWE-agent (C->Rust),Total,Total,c,rust,108728,41,89,623,154,131,23,486,441,45,,,,1938,1928,10,39.33342729591836,65.74843494897958,3186,,,,,,,,100,measured,147212,measured,100.0,partial,623,measured,1432,partial,1428,partial,4,partial,1758,partial,1754,partial,4,partial,,not_applicable,,not_applicable,,not_applicable,,not_applicable,1184,measured,1087,measured,1085,measured,2,measured,57.53651177967791,partial,65.1137092909013,partial
Table 1,grand_total,ALL,ALL,Total,Total,Total,,,233057,96.9,99.4,2107,1068,542,526,1970,1822,148,1484,1456,28,3642,3629,13,70.79789587198515,85.3765336270872,4583,935,1366,462,31,,,,118,measured,234020,measured,100.0,partial,2107,measured,1967,partial,1711,partial,256,partial,1997,partial,1992,partial,5,partial,1397,measured,19,partial,19,partial,0,partial,1546,measured,1449,measured,1447,measured,2,measured,53.96368844037231,partial,60.323887018349026,partial
