system,paper_technique,variant,project_id,tool,repetition,workspace_dir,artifact_target_path,expected_artifact_target_path,evaluator_adaptations_json,failure_status,reason,detected_at
prior,swe-agent,full,crust__circularbuffer,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055488Z
prior,swe-agent,full,crust__cissy,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055614Z
prior,swe-agent,full,crust__cjson,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055663Z
prior,swe-agent,full,crust__clhash,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055696Z
prior,swe-agent,full,crust__clog,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055723Z
prior,swe-agent,full,crust__coroutine,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055755Z
prior,swe-agent,full,crust__cset,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055799Z
prior,swe-agent,full,crust__csyncmers,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055835Z
prior,swe-agent,full,crust__dict,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055870Z
prior,swe-agent,full,crust__emlang,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055902Z
prior,swe-agent,full,crust__expr,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055922Z
prior,swe-agent,full,crust__fasthamming,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055936Z
prior,swe-agent,full,crust__fft,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055964Z
prior,swe-agent,full,crust__file2str,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.055995Z
prior,swe-agent,full,crust__fleur,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056032Z
prior,swe-agent,full,crust__fs_c,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056059Z
prior,swe-agent,full,crust__fslib,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056095Z
prior,swe-agent,full,crust__genetic-neural-network-for-simple-control,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056129Z
prior,swe-agent,full,crust__geofence,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056158Z
prior,swe-agent,full,crust__gfc,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056187Z
prior,swe-agent,full,crust__gorilla-paper-encode,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056215Z
prior,swe-agent,full,crust__graph-recogniser,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056254Z
prior,swe-agent,full,crust__hamta,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056283Z
prior,swe-agent,full,crust__holdem-odds,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056312Z
prior,swe-agent,full,crust__hydra,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056341Z
prior,swe-agent,full,crust__impcheck,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056372Z
prior,swe-agent,full,crust__inversion_list,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056408Z
prior,swe-agent,full,crust__jccc,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056435Z
prior,swe-agent,full,crust__kairocompiler,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056462Z
prior,swe-agent,full,crust__kd3,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056491Z
prior,swe-agent,full,crust__lambda-calculus-eval,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056509Z
prior,swe-agent,full,crust__leftpad,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056522Z
prior,swe-agent,full,crust__lib2bit,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056552Z
prior,swe-agent,full,crust__libbase122,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056581Z
prior,swe-agent,full,crust__libbeaufort,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056660Z
prior,swe-agent,full,crust__libfor,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056694Z
prior,swe-agent,full,crust__libm17,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056718Z
prior,swe-agent,full,crust__libpgn,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056737Z
prior,swe-agent,full,crust__libpsbt,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056757Z
prior,swe-agent,full,crust__libqueue,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056780Z
prior,swe-agent,full,crust__libtinyfseq,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056815Z
prior,swe-agent,full,crust__libutf,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056845Z
prior,swe-agent,full,crust__libvcd,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056872Z
prior,swe-agent,full,crust__libwecan,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056896Z
prior,swe-agent,full,crust__linear-algebra-c,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056932Z
prior,swe-agent,full,crust__ljmm,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056964Z
prior,swe-agent,full,crust__ltre,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.056992Z
prior,swe-agent,full,crust__math-library-in-c,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057018Z
prior,swe-agent,full,crust__matrix_multiplication,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057043Z
prior,swe-agent,full,crust__mdb,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057071Z
prior,swe-agent,full,crust__megalania,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057103Z
prior,swe-agent,full,crust__merkle-tree-c,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057130Z
prior,swe-agent,full,crust__morton,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057157Z
prior,swe-agent,full,crust__murmurhash_c,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057186Z
prior,swe-agent,full,crust__mvptree,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057214Z
prior,swe-agent,full,crust__nandc,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057237Z
prior,swe-agent,full,crust__phills_dht,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057271Z
prior,swe-agent,full,crust__quadtree,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057298Z
prior,swe-agent,full,crust__razz_simulation,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057327Z
prior,swe-agent,full,crust__rbtree-lab,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057359Z
prior,swe-agent,full,crust__recordmanager,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057390Z
prior,swe-agent,full,crust__rect_pack_h,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057418Z
prior,swe-agent,full,crust__remimu,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057448Z
prior,swe-agent,full,crust__rhbloom,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057486Z
prior,swe-agent,full,crust__roaring-bitmap,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057515Z
prior,swe-agent,full,crust__rubiksolver,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057543Z
prior,swe-agent,full,crust__satc,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057571Z
prior,swe-agent,full,crust__simple-config,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057602Z
prior,swe-agent,full,crust__simple-sparsehash,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057633Z
prior,swe-agent,full,crust__simple_lang,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057664Z
prior,swe-agent,full,crust__simplexml,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057692Z
prior,swe-agent,full,crust__skp,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057718Z
prior,swe-agent,full,crust__slothlang,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057739Z
prior,swe-agent,full,crust__ted,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057758Z
prior,swe-agent,full,crust__tisp,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057777Z
prior,swe-agent,full,crust__totp,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057797Z
prior,swe-agent,full,crust__ulidgen,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057815Z
prior,swe-agent,full,crust__utf8,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057834Z
prior,swe-agent,full,crust__vaultsync,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057853Z
prior,swe-agent,full,crust__vec,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057925Z
prior,swe-agent,full,crust__worsp,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057949Z
prior,swe-agent,full,crust__xopt,crust,0,,,,[],unavailable,released SWE-agent CRUST target outputs are unavailable; implementation-root's rust tree is only the pristine stub scaffold and is intentionally excluded from replay,2026-08-05T18:56:51.057975Z
